PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066676,Arid4a Suppresses Breast Tumor Metastasis by Enhancing MTSS1 Expression via mRNA Stability.,N/A,,,N/A
40066456,Influence of gut microbial metabolites on tumor immunotherapy: mechanisms and potential natural products.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",Zhang,"Department of Clinical Pharmacy, The First Hospital of Jilin University, Changchun, China.",N/A
40066449,Case report: Efficacy of immune checkpoint inhibitors for high tumour mutational burden malignant phyllodes tumours of the breast as revealed by comprehensive genomic profiling.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066446,Exercise boost after surgery improves survival in model of metastatic breast cancer.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})","Stagaard, Jensen, Strøbech, Oria, Zornhagen, Albrechtsen, Erler","Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), Copenhagen, Denmark., Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), Copenhagen, Denmark., Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), Copenhagen, Denmark., Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), Copenhagen, Denmark., Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), Copenhagen, Denmark., Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), Copenhagen, Denmark., Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), Copenhagen, Denmark.",N/A
40066409,Expression of Proliferating Cell Nuclear Antigen (PCNA) in Nasal Polyp: A Systematic Review and Meta-analysis.,"DictElement({'Year': '2024', 'Month': '11', 'Day': '01'}, attributes={'DateType': 'Electronic'})",,,N/A
40066335,Gold complex QB1561 suppresses drug-resistant cancer cells by inhibiting TrxR and mitochondrial respiratory function.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066325,Optimizing Triple-Negative Breast Cancer Therapy via Ultrasound-Enhanced Piezocatalysis for Targeted Chemodrug Release.,"DictElement({'Year': '2025', 'Month': '03', 'Day': '06'}, attributes={'DateType': 'Electronic'})",,,N/A
40066322,Biomimetic Self-Oxygenated Immunoliposome for Cancer-Targeted Photodynamic Immunotherapy.,"DictElement({'Year': '2025', 'Month': '03', 'Day': '06'}, attributes={'DateType': 'Electronic'})","Tang, Tang, Li, Wu, Liu, Xiang, Hu","Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, People's Republic of China., Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, People's Republic of China., Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, People's Republic of China., Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, People's Republic of China., Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, People's Republic of China., Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, People's Republic of China., Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, People's Republic of China.",N/A
40066280,Real World Evidence on Hormone Receptor Positive and Human Epidermal Growth Factor Receptor 2 Negative Metastatic Breast Cancer in Italy: Insights From 2017 to 2021 Data.,"DictElement({'Year': '2025', 'Month': '03', 'Day': '06'}, attributes={'DateType': 'Electronic'})",,,N/A
40066263,Ultrasonography: an aid in molecular subtyping of breast carcinoma.,"DictElement({'Year': '2025', 'Month': '01', 'Day': '23'}, attributes={'DateType': 'Electronic'})",,,N/A
