PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066547,Immune-Related Adverse Event of Immunotherapy: Diabetes.,N/A,,,N/A
40066458,Survival benefits of postoperative radiotherapy in esophageal cancer during the immunotherapy era:a retrospective cohort study based on the SEER database and a single-center registry in China.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066456,Influence of gut microbial metabolites on tumor immunotherapy: mechanisms and potential natural products.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",Zhang,"Department of Clinical Pharmacy, The First Hospital of Jilin University, Changchun, China.",N/A
40066455,Identification and functional characterization of T-cell exhaustion-associated lncRNA AL031775.1 in osteosarcoma: a novel therapeutic target.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066454,Integrated multiomics analysis and machine learning refine neutrophil extracellular trap-related molecular subtypes and prognostic models for acute myeloid leukemia.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066453,Bioinformatics analysis reveals novel tumor antigens and immune subtypes of skin cutaneous melanoma contributing to mRNA vaccine development.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066447,Case Report: Complete response to four cycles of camrelizumab in a PD-L1 negative patient with advanced oral squamous cancer.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066442,A comprehensive prognostic and immunological implications of Gremlin 1 in lung adenocarcinoma.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
40066440,In-depth analysis of the safety of CAR-T cell therapy for solid tumors.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})","Dong, Wu, Jin, Zheng, Su, Shao, Bei, Chen","Department of Immuno-Oncology, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, China., School of Clinical Medicine, Guangdong Pharmaceutical University, Guangzhou, China., Department of Immuno-Oncology, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, China., Department of Immuno-Oncology, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, China., Department of Immuno-Oncology, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, China., Department of Immuno-Oncology, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, China., Department of Immuno-Oncology, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, China., Department of Immuno-Oncology, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, China.",N/A
40066439,Tissue-resident memory T cells in urinary tract diseases.,"DictElement({'Year': '2025', 'Month': '02', 'Day': '24'}, attributes={'DateType': 'Electronic'})",,,N/A
